"Stage","Scenario","Utopia","DurationSec","DATA_TIMER","BACKLOG_FACTOR","ACK_TIMER","Port","Tag","AUtil","BUtil","AvgUtil","APackets","BPackets","AStatsCount","BStatsCount","AMaxStatsGap","BMaxStatsGap","SendAckTotal","AckTimeoutTotal","DataTimeoutTotal","DataTimeoutPerMin","SendAckPerMin","SendNakTotal","BadCrcTotal","BothQuit","ForcedStop","Fatal","BadPacket","PhlOverflow","Valid","Score","ALog","BLog","AStdout","BStdout","BuildLog","WallSeconds"
"01-粗筛-2min","默认误码洪水","False","120","2200","3","80","61000","coarse-default-flood-ack80-20260516-211710","84.92","84.06","84.49","390","387","53","50","3.247","4.272","215","215","27","13.5","107.5","18","18","True","False","False","False","False","True","83.87","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack80-20260516-211710-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack80-20260516-211710-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack80-20260516-211710-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack80-20260516-211710-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack80\build-ack80.txt","121"
"01-粗筛-2min","默认误码洪水","False","120","2200","3","100","61001","coarse-default-flood-ack100-20260516-211711","87.82","84.21","86.015","406","385","52","50","3.972","4.248","213","213","22","11","106.5","16","17","True","True","False","False","False","False","85.472","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack100-20260516-211711-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack100-20260516-211711-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack100-20260516-211711-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack100-20260516-211711-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack100\build-ack100.txt","120.7"
"01-粗筛-2min","默认误码洪水","False","120","2200","3","120","61002","coarse-default-flood-ack120-20260516-211711","85.45","84.12","84.785","394","389","51","51","4.571","3.727","191","191","31","15.5","95.5","15","16","True","False","False","False","False","True","84.129","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack120-20260516-211711-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack120-20260516-211711-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack120-20260516-211711-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack120-20260516-211711-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack120\build-ack120.txt","120.6"
"01-粗筛-2min","默认误码洪水","False","120","2200","3","140","61003","coarse-default-flood-ack140-20260516-211711","89.26","81.59","85.425","412","376","53","50","3.688","4.258","206","206","35","17.5","103","14","17","True","True","False","False","False","False","84.694","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack140-20260516-211711-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack140-20260516-211711-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack140-20260516-211711-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack140-20260516-211711-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack140\build-ack140.txt","120.3"
"01-粗筛-2min","默认误码洪水","False","120","2200","3","160","61004","coarse-default-flood-ack160-20260516-211712","88.06","84.85","86.455","406","393","54","51","2.705","4.261","209","209","21","10.5","104.5","17","17","True","True","False","False","False","False","85.931","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack160-20260516-211712-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack160-20260516-211712-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack160-20260516-211712-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack160-20260516-211712-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack160\build-ack160.txt","120"
"01-粗筛-2min","默认误码洪水","False","120","2200","3","180","61005","coarse-default-flood-ack180-20260516-211712","87.2","81.71","84.455","403","376","53","49","3.959","4.329","210","210","32","16","105","18","20","True","False","False","False","False","True","83.765","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack180-20260516-211712-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack180-20260516-211712-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack180-20260516-211712-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack180-20260516-211712-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack180\build-ack180.txt","120.4"
"01-粗筛-2min","默认误码洪水","False","120","2200","3","200","61006","coarse-default-flood-ack200-20260516-211713","83.73","82.21","82.97","389","377","51","49","4.234","4.295","180","180","39","19.5","90","20","20","True","True","False","False","False","False","82.205","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack200-20260516-211713-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack200-20260516-211713-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack200-20260516-211713-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\01-粗筛-2min\coarse-default-flood-ack200-20260516-211713-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack200\build-ack200.txt","120"
"02-长测-20min","默认误码洪水","False","1200","2200","3","80","61008","long-default-flood-ack80-20260516-211913","86.41","86.8","86.605","4048","4067","519","526","6.749","4.506","1864","1870","209","10.45","93.2","152","156","True","False","False","False","False","True","86.105","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02-长测-20min\long-default-flood-ack80-20260516-211913-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02-长测-20min\long-default-flood-ack80-20260516-211913-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02-长测-20min\long-default-flood-ack80-20260516-211913-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02-长测-20min\long-default-flood-ack80-20260516-211913-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack80\build-ack80.txt","1200.4"
"02-长测-20min","默认误码洪水","False","1200","2200","3","120","61007","long-default-flood-ack120-20260516-211913","86.42","86.42","86.42","4043","4045","527","520","6.913","5.551","1794","1795","255","12.75","89.7","154","157","True","False","False","False","False","True","85.858","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02-长测-20min\long-default-flood-ack120-20260516-211913-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02-长测-20min\long-default-flood-ack120-20260516-211913-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02-长测-20min\long-default-flood-ack120-20260516-211913-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02-长测-20min\long-default-flood-ack120-20260516-211913-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack120\build-ack120.txt","1199.7"
"02-长测-20min","默认误码洪水","False","1200","2200","3","180","61009","long-default-flood-ack180-20260516-211913","86.15","86.77","86.46","4033","4065","518","525","6.617","7.442","1697","1699","260","13","84.85","149","158","True","True","False","False","False","False","85.9","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02-长测-20min\long-default-flood-ack180-20260516-211913-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02-长测-20min\long-default-flood-ack180-20260516-211913-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02-长测-20min\long-default-flood-ack180-20260516-211913-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02-长测-20min\long-default-flood-ack180-20260516-211913-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack180\build-ack180.txt","1200.4"
"03-冠军复测-20min","默认误码洪水","False","1200","2200","3","80","62000","resume-retest-default-flood-ack80-20260516-220550","86.39","86.46","86.425","4042","4050","516","521","7.134","4.636","1902","1903","234","11.7","95.1","150","155","True","False","False","False","False","True","85.884","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\03-冠军复测-20min\resume-retest-default-flood-ack80-20260516-220550-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\03-冠军复测-20min\resume-retest-default-flood-ack80-20260516-220550-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\03-冠军复测-20min\resume-retest-default-flood-ack80-20260516-220550-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\03-冠军复测-20min\resume-retest-default-flood-ack80-20260516-220550-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack80\build-ack80.txt","1200.4"
"03-冠军复测-20min","默认误码洪水","False","1200","2200","3","120","62001","resume-retest-default-flood-ack120-20260516-220551","87","86.88","86.94","4073","4063","525","525","4.333","4.617","1875","1878","212","10.6","93.75","149","153","True","True","False","False","False","False","86.434","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\03-冠军复测-20min\resume-retest-default-flood-ack120-20260516-220551-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\03-冠军复测-20min\resume-retest-default-flood-ack120-20260516-220551-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\03-冠军复测-20min\resume-retest-default-flood-ack120-20260516-220551-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\03-冠军复测-20min\resume-retest-default-flood-ack120-20260516-220551-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack120\build-ack120.txt","1200.2"
"03-冠军复测-20min","默认误码洪水","False","1200","2200","3","180","62002","resume-retest-default-flood-ack180-20260516-220551","85.96","86.29","86.125","4025","4040","526","523","4.282","4.617","1770","1771","272","13.6","88.5","157","164","True","False","False","False","False","True","85.54","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\03-冠军复测-20min\resume-retest-default-flood-ack180-20260516-220551-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\03-冠军复测-20min\resume-retest-default-flood-ack180-20260516-220551-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\03-冠军复测-20min\resume-retest-default-flood-ack180-20260516-220551-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\03-冠军复测-20min\resume-retest-default-flood-ack180-20260516-220551-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack180\build-ack180.txt","1200.5"
"04-无误码校验-2min","无误码洪水","True","120","2200","3","120","62003","resume-utopia-flood-ack120-20260516-222552","96.92","96.94","96.93","448","448","56","56","2.152","2.167","10","10","0","0","5","0","0","True","False","False","False","False","True","96.92","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04-无误码校验-2min\resume-utopia-flood-ack120-20260516-222552-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04-无误码校验-2min\resume-utopia-flood-ack120-20260516-222552-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04-无误码校验-2min\resume-utopia-flood-ack120-20260516-222552-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04-无误码校验-2min\resume-utopia-flood-ack120-20260516-222552-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack120\build-ack120.txt","119.8"
"04-无误码校验-2min","无误码洪水","True","120","2200","3","80","62004","resume-utopia-flood-ack80-20260516-222552","96.69","96.68","96.685","448","448","56","56","2.166","2.172","86","86","0","0","43","0","0","True","True","False","False","False","False","96.599","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04-无误码校验-2min\resume-utopia-flood-ack80-20260516-222552-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04-无误码校验-2min\resume-utopia-flood-ack80-20260516-222552-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04-无误码校验-2min\resume-utopia-flood-ack80-20260516-222552-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04-无误码校验-2min\resume-utopia-flood-ack80-20260516-222552-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack80\build-ack80.txt","119.6"
"04-无误码校验-2min","无误码洪水","True","120","2200","3","180","62005","resume-utopia-flood-ack180-20260516-222552","96.61","96.64","96.625","448","448","56","56","2.166","2.164","118","118","0","0","59","0","0","True","False","False","False","False","True","96.507","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04-无误码校验-2min\resume-utopia-flood-ack180-20260516-222552-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04-无误码校验-2min\resume-utopia-flood-ack180-20260516-222552-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04-无误码校验-2min\resume-utopia-flood-ack180-20260516-222552-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04-无误码校验-2min\resume-utopia-flood-ack180-20260516-222552-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack180\build-ack180.txt","120.2"
