"Stage","Scenario","Utopia","DurationSec","DATA_TIMER","BACKLOG_FACTOR","Port","Tag","AUtil","BUtil","AvgUtil","APackets","BPackets","AStatsCount","BStatsCount","AMaxStatsGap","BMaxStatsGap","SendAckTotal","AckTimeoutTotal","DataTimeoutTotal","DataTimeoutPerMin","SendNakTotal","BadCrcTotal","BothQuit","ForcedStop","Fatal","BadPacket","PhlOverflow","Valid","Score","ALog","BLog","AStdout","BStdout","BuildLog","WallSeconds"
"粗筛-2min","默认误码洪水","False","120","1500","3","59910","dt1500-bg3-default-flood-20260509-214226","88.93","87.11","88.02","407","403","52","52","3.945","6.677","143","143","49","24.5","11","12","True","False","False","False","False","True","87.285","dt1500-bg3-default-flood-20260509-214226-A.log","dt1500-bg3-default-flood-20260509-214226-B.log","dt1500-bg3-default-flood-20260509-214226-A.stdout.txt","dt1500-bg3-default-flood-20260509-214226-B.stdout.txt","dt1500-bg3-default-flood-20260509-214226-build.txt","120.8"
"粗筛-2min","默认误码洪水","False","120","1500","4","59911","dt1500-bg4-default-flood-20260509-214429","84.91","85.39","85.15","394","393","53","53","3.997","3.986","312","312","58","29","14","14","True","False","False","False","False","True","84.28","dt1500-bg4-default-flood-20260509-214429-A.log","dt1500-bg4-default-flood-20260509-214429-B.log","dt1500-bg4-default-flood-20260509-214429-A.stdout.txt","dt1500-bg4-default-flood-20260509-214429-B.stdout.txt","dt1500-bg4-default-flood-20260509-214429-build.txt","120.7"
"粗筛-2min","默认误码洪水","False","120","1500","6","59912","dt1500-bg6-default-flood-20260509-214631","78.73","79.61","79.17","363","367","51","50","3.776","4.88","376","376","103","51.5","13","14","True","False","False","False","False","True","77.625","dt1500-bg6-default-flood-20260509-214631-A.log","dt1500-bg6-default-flood-20260509-214631-B.log","dt1500-bg6-default-flood-20260509-214631-A.stdout.txt","dt1500-bg6-default-flood-20260509-214631-B.stdout.txt","dt1500-bg6-default-flood-20260509-214631-build.txt","120.6"
"粗筛-2min","默认误码洪水","False","120","1500","8","59913","dt1500-bg8-default-flood-20260509-214834","75.57","77.92","76.74","344","362","46","49","4.823","4.433","480","480","106","53","15","15","True","False","False","False","False","True","75.15","dt1500-bg8-default-flood-20260509-214834-A.log","dt1500-bg8-default-flood-20260509-214834-B.log","dt1500-bg8-default-flood-20260509-214834-A.stdout.txt","dt1500-bg8-default-flood-20260509-214834-B.stdout.txt","dt1500-bg8-default-flood-20260509-214834-build.txt","120.6"
"粗筛-2min","默认误码洪水","False","120","2200","3","59914","dt2200-bg3-default-flood-20260509-215036","86.18","87.83","87","399","404","52","52","3.986","4.188","173","173","28","14","14","15","True","False","False","False","False","True","86.58","dt2200-bg3-default-flood-20260509-215036-A.log","dt2200-bg3-default-flood-20260509-215036-B.log","dt2200-bg3-default-flood-20260509-215036-A.stdout.txt","dt2200-bg3-default-flood-20260509-215036-B.stdout.txt","dt2200-bg3-default-flood-20260509-215036-build.txt","120.5"
"粗筛-2min","默认误码洪水","False","120","2200","4","59915","dt2200-bg4-default-flood-20260509-215238","87.53","86.27","86.9","399","395","52","51","3.994","6.226","327","327","27","13.5","11","12","True","False","False","False","False","True","86.495","dt2200-bg4-default-flood-20260509-215238-A.log","dt2200-bg4-default-flood-20260509-215238-B.log","dt2200-bg4-default-flood-20260509-215238-A.stdout.txt","dt2200-bg4-default-flood-20260509-215238-B.stdout.txt","dt2200-bg4-default-flood-20260509-215238-build.txt","120.6"
"粗筛-2min","默认误码洪水","False","120","2200","6","59916","dt2200-bg6-default-flood-20260509-215440","85.78","80.12","82.95","395","369","52","52","4.061","3.96","466","466","25","12.5","11","12","True","False","False","False","False","True","82.575","dt2200-bg6-default-flood-20260509-215440-A.log","dt2200-bg6-default-flood-20260509-215440-B.log","dt2200-bg6-default-flood-20260509-215440-A.stdout.txt","dt2200-bg6-default-flood-20260509-215440-B.stdout.txt","dt2200-bg6-default-flood-20260509-215440-build.txt","120.6"
"粗筛-2min","默认误码洪水","False","120","2200","8","59917","dt2200-bg8-default-flood-20260509-215642","81.41","79.96","80.68","374","368","51","49","3.97","5.05","512","512","21","10.5","12","13","True","False","False","False","False","True","80.365","dt2200-bg8-default-flood-20260509-215642-A.log","dt2200-bg8-default-flood-20260509-215642-B.log","dt2200-bg8-default-flood-20260509-215642-A.stdout.txt","dt2200-bg8-default-flood-20260509-215642-B.stdout.txt","dt2200-bg8-default-flood-20260509-215642-build.txt","120.6"
"粗筛-2min","默认误码洪水","False","120","2600","3","59918","dt2600-bg3-default-flood-20260509-215844","85.5","87.76","86.63","392","404","52","52","4.208","4.235","214","214","13","6.5","15","15","True","False","False","False","False","True","86.435","dt2600-bg3-default-flood-20260509-215844-A.log","dt2600-bg3-default-flood-20260509-215844-B.log","dt2600-bg3-default-flood-20260509-215844-A.stdout.txt","dt2600-bg3-default-flood-20260509-215844-B.stdout.txt","dt2600-bg3-default-flood-20260509-215844-build.txt","120.5"
"粗筛-2min","默认误码洪水","False","120","2600","4","59919","dt2600-bg4-default-flood-20260509-220046","88.94","85.23","87.08","413","393","53","51","3.967","4.25","340","340","11","5.5","12","12","True","False","False","False","False","True","86.915","dt2600-bg4-default-flood-20260509-220046-A.log","dt2600-bg4-default-flood-20260509-220046-B.log","dt2600-bg4-default-flood-20260509-220046-A.stdout.txt","dt2600-bg4-default-flood-20260509-220046-B.stdout.txt","dt2600-bg4-default-flood-20260509-220046-build.txt","120.5"
"粗筛-2min","默认误码洪水","False","120","2600","6","59920","dt2600-bg6-default-flood-20260509-220249","83.15","82.39","82.77","386","379","52","51","4.017","4.511","476","476","14","7","11","12","True","False","False","False","False","True","82.56","dt2600-bg6-default-flood-20260509-220249-A.log","dt2600-bg6-default-flood-20260509-220249-B.log","dt2600-bg6-default-flood-20260509-220249-A.stdout.txt","dt2600-bg6-default-flood-20260509-220249-B.stdout.txt","dt2600-bg6-default-flood-20260509-220249-build.txt","120.5"
"粗筛-2min","默认误码洪水","False","120","2600","8","59921","dt2600-bg8-default-flood-20260509-220451","80.31","78.48","79.4","365","364","49","48","4.267","4.27","506","506","13","6.5","14","14","True","False","False","False","False","True","79.205","dt2600-bg8-default-flood-20260509-220451-A.log","dt2600-bg8-default-flood-20260509-220451-B.log","dt2600-bg8-default-flood-20260509-220451-A.stdout.txt","dt2600-bg8-default-flood-20260509-220451-B.stdout.txt","dt2600-bg8-default-flood-20260509-220451-build.txt","120.6"
"粗筛-2min","默认误码洪水","False","120","3000","3","59922","dt3000-bg3-default-flood-20260509-220653","86.54","79.7","83.12","400","365","52","49","4.821","6.953","240","240","30","15","16","17","True","False","False","False","False","True","82.67","dt3000-bg3-default-flood-20260509-220653-A.log","dt3000-bg3-default-flood-20260509-220653-B.log","dt3000-bg3-default-flood-20260509-220653-A.stdout.txt","dt3000-bg3-default-flood-20260509-220653-B.stdout.txt","dt3000-bg3-default-flood-20260509-220653-build.txt","120.6"
"粗筛-2min","默认误码洪水","False","120","3000","4","59923","dt3000-bg4-default-flood-20260509-220855","85.08","80.21","82.64","392","371","51","49","4.274","7.79","332","332","26","13","15","17","True","False","False","False","False","True","82.25","dt3000-bg4-default-flood-20260509-220855-A.log","dt3000-bg4-default-flood-20260509-220855-B.log","dt3000-bg4-default-flood-20260509-220855-A.stdout.txt","dt3000-bg4-default-flood-20260509-220855-B.stdout.txt","dt3000-bg4-default-flood-20260509-220855-build.txt","120.5"
"粗筛-2min","默认误码洪水","False","120","3000","6","59924","dt3000-bg6-default-flood-20260509-221057","83.27","83.02","83.14","389","380","51","51","4.495","3.508","501","501","3","1.5","12","12","True","False","False","False","False","True","83.095","dt3000-bg6-default-flood-20260509-221057-A.log","dt3000-bg6-default-flood-20260509-221057-B.log","dt3000-bg6-default-flood-20260509-221057-A.stdout.txt","dt3000-bg6-default-flood-20260509-221057-B.stdout.txt","dt3000-bg6-default-flood-20260509-221057-build.txt","120.6"
"粗筛-2min","默认误码洪水","False","120","3000","8","59925","dt3000-bg8-default-flood-20260509-221259","75.69","82.41","79.05","352","384","48","51","7.627","4.744","522","522","16","8","8","9","True","False","False","False","False","True","78.81","dt3000-bg8-default-flood-20260509-221259-A.log","dt3000-bg8-default-flood-20260509-221259-B.log","dt3000-bg8-default-flood-20260509-221259-A.stdout.txt","dt3000-bg8-default-flood-20260509-221259-B.stdout.txt","dt3000-bg8-default-flood-20260509-221259-build.txt","120.5"
